TREE_ID,SCIENTIFIC_NAME,COMMON_NAME,DBH_INCHES,LATITUDE,LONGITUDE,CONDITION
TR-1001,Quercus virginiana,,22,30.254897837076072,-97.74720924142949,Good
TR-1002,Quercus virginiana,Southern Live Oak,7,30.250595944388763,-97.74562724050392,Good
TR-1003,Ulmus crassifolia,Cedar Elm,39,30.258390396419234,-97.74101581907432,Critical
TR-1004,Quercus virginiana,Southern Live Oak,15,30.263962787899764,-97.74319498966963,Fair
TR-1005,Ulmus crassifolia,Cedar Elm,26,30.2520442055304,-97.74240145398724,Critical
TR-1006,Quercus texana,Texas Red Oak,7,30.26459463573388,-97.7392754381709,Dead
TR-1007,Quercus virginiana,Southern Live Oak,45,30.262370395047288,-97.73276586199378,Fair
TR-1008,Quercus virginiana,,19,30.265461366815774,-97.73029556958679,Fair
TR-1009,Quercus virginiana,Southern Live Oak,34,30.262713688885288,-97.74270335642059,Critical
TR-1010,Quercus texana,Texas Red Oak,22,30.264036406269174,-97.73632904668926,Good
TR-1011,Ulmus crassifolia,Cedar Elm,20,30.25326804987524,-97.74241089116484,Fair
TR-1012,Quercus texana,Texas Red Oak,8,30.254580961439284,-97.74935799512191,Critical
TR-1013,Platanus occidentalis,American Sycamore,18,30.268262722483712,-97.73865639897042,Critical
TR-1014,Ulmus crassifolia,Cedar Elm,30,30.267693663077736,-97.73714296259598,Fair
TR-1015,Quercus texana,,40,30.260779545793348,-97.73505972376695,Dead
TR-1016,Platanus occidentalis,American Sycamore,13,30.26019052587353,-97.74818181175652,Good
TR-1017,Quercus virginiana,,15,30.265841587287262,-97.741556800664,Good
TR-1018,Platanus occidentalis,American Sycamore,34,30.260582286901986,-97.73057843244773,Good
TR-1019,Quercus virginiana,Southern Live Oak,39,30.265017555991832,-97.73462802534685,Critical
TR-1020,Quercus virginiana,Southern Live Oak,15,30.259074474126585,-97.73092368144957,Critical
TR-1021,Ulmus crassifolia,Cedar Elm,11,30.267410371396736,-97.74403110417103,Fair
TR-1022,Ulmus crassifolia,Cedar Elm,15,30.260787580602393,-97.73442747042738,Good
TR-1023,Quercus texana,Texas Red Oak,12,30.268581972325293,-97.73242556244354,Critical
TR-1024,Ulmus crassifolia,,41,30.268938988905962,-97.74828693095864,Dead
TR-1025,Quercus virginiana,Southern Live Oak,39,30.26531668858614,-97.74743217071,Dead
TR-1026,Ulmus crassifolia,Cedar Elm,43,30.25846275880402,-97.74576403589116,Fair
TR-1027,Quercus texana,Texas Red Oak,28,30.258762001678292,-97.73964848317928,Good
